id_polo,uf_polo,municipio_polo,nome_polo,nome_fantasia,polo_logradouro,polo_numero,polo_bairro,polo_cep,polo_complemento
80,GO,Goianésia,GOIANESIA - SANTA LUZIA,POLO DE APOIO PRESENCIAL DA UAB DE GOIANESIA,RUA 37,354,SANTA LUZIA,76380000,colégio estadual salvador leite
81,GO,São Simão,SAO SIMAO - POPULAR,POLO UAB - SAO SIMAO,"rua 14, esquina com 21 e 25.",,POPULAR,75890000,Escola Municipal de Ensino Fundamental  José porfírio nogueira
82,GO,Uruana,URUANA - CENTRO,POLO UAB DE URUANA-GO,RUA 13 ,S/N,CENTRO,76335000, 
83,MA,Imperatriz,IMPERATRIZ - PRACA UNIAO,POLO UAB IMPERATRIZ,Dom Pedro II,S/N,Praça União,65901090,
84,MA,Porto Franco,PORTO FRANCO - VILA SAO FRANCISCO,POLO UAB - PORTO FRANCO,Av. Tiradentes,2060,Vila São Francisco,65970000, 
85,MG,Alterosa,ALTEROSA - CRUZEIRO,POLO DE EDUCACAO A DISTANCIA DA BAIXA MOGIANA - ALTEROSA - UAB,Rua José Joaquim Terra,65,Cruzeiro,37145000,
86,MG,Araçuaí,ARACUAI - CENTRO,CAED - ARACUAI - UAB,PRAÇA OLEGÁRIO MACIEL,32,CENTRO,39600000, 
87,MG,Araguari,ARAGUARI - FATIMA,POLO DE APOIO PRESENCIAL DE ARAGUARI - UAB,Praça Augusto Diniz,55,Fátima,38442148,
88,MG,Bicas,BICAS - CENTRO,POLO REGIONAL UNIVERSITARIO DE BICAS - UAB, RUA CÔNEGO PIO ,,CENTRO,36600000, 
89,MG,Boa Esperança,BOA ESPERANCA - OZANAN,POLO UAB - BOA ESPERANCA,Tonico Rodrigues,480,Ozanan,37170000,
90,MG,Buritis,BURITIS - VEREDAS,POLO UNIVERSITARIO DE BURITIS,Rua Ouro Preto,211,VEREDAS,38660000, 
91,MG,Cambuí,CAMBUI - CENTRO,POLO UAB - CAMBUI,"RUA JOÃO MOREIRA SALLES,1º ANDAR ",690,CENTRO,37600000, 1º aNDAR
92,MG,Campos Gerais,CAMPOS GERAIS - CENTRO,POLO UAB - CAMPOS GERAIS,Rua: Jorge de Paula Meinberg. ,689,Centro,37160000,
93,MG,Conselheiro Lafaiete,CONSELHEIRO LAFAIETE - SAO DIMAS,POLO UAB - CONSELHEIRO LAFAIETE,Rua Padre Teófilo Reyn,990,São Dimas,36400000, 
94,MG,Corinto,CORINTO - CLARINDO DE PAIVA,CENTRO TECNOLOGICO EDUCACIONAL DE CORINTO - CETEC - CORINTO - UAB,RUA RISOLETA LIMA,1041,CLARINDO DE PAIVA,39120000, Próximo ao posto RN
95,MG,Coromandel,COROMANDEL - SAO DOMINGOS,POLO DE APOIO PRESENCIAL UAB COROMANDEL,Rua Sebastião Lopes Pereira,264,São Domingos,38550000,
96,MG,Divinolândia de Minas,DIVINOLANDIA DE MINAS - CENTRO,"POLO UAB -"" PROFESSOR JOSE COELHO PERPETUO"" - DIVINOLANDIA DE MINAS -",PRAÇA PROFº CARVALHAIS,50,CENTRO,39735000,ESCOLA MUNICIPAL RUI BARBOSA
97,MG,Formiga,FORMIGA - ROSARIO,POLO UAB - FORMIGA,"Praça Padre Daniel Nascimento Lindo, ",1,ROSÁRIO,35570000,Escola Municipal Lídia Braga
98,MG,Governador Valadares,GOVERNADOR VALADARES - CENTRO,UAB - POLO DE APOIO PRESENCIAL DE EDUCACAO A DISTANCIA DE GOVERNADOR VALADARES,Rua Sete de Setembro,2479,Centro,35010172, 
99,MG,Ilicínea,ILICINEA - JARDIM PRIMAVERA,POLO UAB - ILICINEA,AVENIDA XV DE NOVEMBRO,1457,JARDIM PRIMAVERA,37175000, 
100,MG,Ipatinga,IPATINGA - BOM RETIRO,POLO UAB DE IPATINGA - UNIVERSIDADE ABERTA DO BRASIL,AV. FERNANDO DE NORONHA,490,BOM RETIRO,35160225, Anexo a Escola Municipal Padre Cícero de Castro
101,MG,Itabira,ITABIRA - AMAZONAS,POLO DE APOIO PRESENCIAL DE ITABIRA - UAB,Rua São Paulo,377,Amazonas,35900373,
102,MG,Itamonte,ITAMONTE - CENTRO,POLO UAB - ITAMONTE ,Rua Presidente Vagas,149,CENTRO,37466000, 
103,MG,Januária,JANUARIA - VILA FATIMA,POLO UAB - JANUARIA,Rua do Sertanejo  ,212,Vila Fátima,39480000, Prédio do Campus/UNIMONTES
104,MG,João Monlevade,JOAO MONLEVADE - VILA TANQUE,POLO DE APOIO PRESENCIAL UAB - JOAO MONLEVADE,Rua Dezesseis,24,Vila Tanque,35930408,Bloco 3 e 4
105,MG,Lagamar,LAGAMAR - CENTRO,ENSINO A DISTANCIA DANIEL VINICIUS SANTOS MOURA - LAGAMAR - UAB,RUA AMAZONAS ,147 A,CENTRO,38785000, 
107,MG,Salinas,SALINAS - CENTRO,POLO DE APOIO PRESENCIAL DO SISTEMA UAB - SALINAS,PRAÇA DR. MORAIS,114,CENTRO,39560000, 
108,MG,Santa Rita de Caldas,SANTA RITA DE CALDAS - CENTRO,POLO PRESENCIAL UAB - SANTA RITA DE CALDAS,RUA PREFEITO SEBASTIÃO JANUZI,20,CENTRO,37775000, 
109,MG,São João del Rei,SAO JOAO DEL REI - TEJUCO,POLO DE APOIO PRESENCIAL DE SAO JOAO DEL-REI - UAB,Avenida General Osório,779,Tejuco,36300000,
110,MG,Teófilo Otoni,TEOFILO OTONI - VILA SANTA CLARA,CENTRO DE APOIO A EDUCACAO A DISTANCIA - TEOFILO OTONI - UAB,RUA ARISTÓTELES DANTAS GUIMARÃES,166,VILA SANTA CLARA,39800000, 
111,MG,Uberaba,UBERABA - BOA VISTA,POLO DE APOIO DE PRESENCIAL DE UBERABA - UAB,AVENIDA ELIAS CRUVINEL ,1045,BOA VISTA,28070100,ESCOLA MUN. BOA VISTA
112,MS,Água Clara,AGUA CLARA - JARDIM DAS PALMEIRAS,POLO UAB - AGUA CLARA,RUA ALBERICO BARBOSA DE SOUZA,39,JARDIM DAS PALMEIRAS,79680000, 
113,MS,Rio Brilhante,RIO BRILHANTE - ZONA RURAL,POLO UAB - RIO BRILHANTE,Br.163 - Km 314,,ZONA RURAL,79130000, Fazenda CAdeado Parte II
