37,BA,Simões Filho,SIMOES FILHO - C.I.A 1,POLO UAB-SIMOES FILHO,Avenida Elmo Serejo Farias,2345,C.I.A 1,43700000, Ao lado do Colégio Metropolitano,-12.7700716,-38.42188489999999
38,CE,Aracati,ARACATI - AEROPORTO,POLO UAB - ARACATI,Br 304 - Km 44,200,Aeroporto,62800000,E. E. F. Antônio monteiro,-4.6409959,-37.681228
39,CE,Aracoiaba,ARACOIABA - CONJUNTO SOLON LIMAVERDE,POLO UAB - ARACOIABA,AV. MANOEL BATISTA DA SILVA,,CONJUNTO SOLON LIMAVERDE,62755000, ,-4.5215418,-38.5270305
40,CE,Barbalha,BARBALHA - BURITI,POLO UAB - BARBALHA,AV JOSÉ BERNADINO CAVALCANTE LEITE,SN,BURITI,63180000,KM 04,-7.381196699999999,-39.2791011
41,CE,Camocim,CAMOCIM - CENTRO,POLO UAB - CAMOCIM,RUA DA INDEPENDÊNCIA ,412,CENTRO,62400000, ,-2.9264357,-40.8374011
42,CE,Caucaia,CAUCAIA - JUREMA,POLO UAB CAUCAIA 2 - ESCOLA RUBENS VAZ(JUREMA) ,AV. NOVO HORIZONTE,,JUREMA,61695000,CONJUNTO MARECHAL RONDON,-3.7736265,-38.6248525
43,CE,Caucaia,CAUCAIA - NOVO PABUSSU,MARIA DOLORES MENEZES DE ALMEIDA - POLO UAB DE CAUCAIA 1( PROVISORIO),RUA DA CONSOLAÇÃO,465,NOVO PABUSSÚ,61600310, ,-3.7293426,-38.6643134
44,CE,Caucaia,CAUCAIA - ITAMBE I,POLO UAB CAUCAIA 3 - ESCOLA FLAVIO PORTELA MARCILIO(SEDE),"RUA 05,CONJUNTO VICENTE ARRUDA",23,ITAMBÉ I,61600000,ESCOLA DE ENS. FUNDAMENTAL FLÁVIO PORTELA MARCÍLIO,-3.7318971,-38.6459786
45,CE,Fortaleza,FORTALEZA - DAMAS,UNIVERSIDADE POPULAR DE FORTALEZA,Av. João Pessoa,5609,Damas,60425682,Campus do Imparh,-3.7570719,-38.5534649
46,CE,Limoeiro do Norte,LIMOEIRO DO NORTE - SANTA LUZIA - CENTRO,POLO UAB - LIMOEIRO DO NORTE,RUA JOSE HAMILTON DE OLIVEIRA,160,SANTA LUZIA - CENTRO,62930000,SECRETARIA DE EDUCA??O,-5.1571715,-38.0208151
47,CE,Meruoca,MERUOCA - CENTRO,POLO UAB - MERUOCA,Praça Caetano Alves,s/n,CENTRO,62130000,,-3.5852504,-40.4516329
48,CE,Quixadá,QUIXADA - CEDRO VELHO,POLO MUNICIPAL DE APOIO PRESENCIAL DA UAB DE QUIXADA - CE,"Estrada do Açude do Cedro, KM 05",S/N,Cedro Velho,63900000,IFCE Quixadá,-4.9584844,-38.9459326
49,CE,Quixeramobim,QUIXERAMOBIM - DISTRITO INDUSTRIAL,POLO ESTADUAL DE QUIXERAMOBIM - CENTEC,Av: GERALDO BIZARRIA DE CARVALHO,S/N,DISTRITO INDUSTRIAL,63800000,VIZINHO A ESCOLA AGRÍCOLA,-5.2915408,-39.4035876
50,CE,Quixeramobim,QUIXERAMOBIM - CENTRO,POLO UNIVERSITARIO DR. ANDRADE FURTADO - QUIXERAMOBIM (MUNICIPIO) - UAB,"AVENIDA  DR. JOAQUIM FERNANDES,BLOCO C",382,CENTRO,63800000, ,-5.2915408,-39.4035876
51,CE,Russas,RUSSAS - YPIRANGA,POLO ESTADUAL DE RUSSAS - UAB,TRAVESSA PEDRO ARAÚJO,sn,YPIRANGA,62900000, ,-4.8149897,-38.1054495
52,CE,São Gonçalo do Amarante,SAO GONCALO DO AMARANTE - LIBERDADE,POLO UAB - SAO GONCALO DO AMARANTE,RUA ESTRADA DA LIBERDADE ,s/n,LIBERDADE,62670000, ,-3.643706799999999,-39.02938839999999
53,CE,Ubajara,UBAJARA - CENTRO,POLO UAB - UBAJARA,AVENIDA CORONEL FRANCISCO CAVALCANTE,503,CENTRO,62350000,,-3.842344,-40.9384914
54,ES,Afonso Cláudio,AFONSO CLAUDIO - CUSTODIO LEITE RIBEIRO,CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE AFONSO CLAUDIO - UAB,ALAMEDA NOSSA SENHORA DE LOURDES,111,CUSTÓDIO LEITE RIBEIRO,29600000, ,-20.0807222,-41.1602597
55,ES,Aracruz,ARACRUZ - CENTRO,POLO DE APOIO PRESENCIAL DA UAB E CENTRO DE FORMACAO DE PROFESSORES JOSE MODENESE - ARACRUZ,RUA GENERAL ARISTIDES GUARANÁ,23,CENTRO,29190050, ,-19.8212364,-40.2717891
56,ES,Baixo Guandu,BAIXO GUANDU - CENTRO,POLO UAB - BAIXO GUANDU,RUA FRITZ VON LUTZOW,217,Centro,29730000,Edifício,-19.6596295,-40.9990597
