"UFC","-3.74549000","-38.57574000","","","Fortaleza","CE","60020181","(85) 3366--950","http://www2.virtual.ufc.br/portal2/","http://www2.virtual.ufc.br/portal2/"
"UFERSA","-5.19043320","-37.34438720","","","Mossoró","RN","59625000","(84) 3317-8236","http://nead.ufersa.edu.br/","http://nead.ufersa.edu.br/"
"UFES","-20.26576830","-40.29716730","Avenida Fernando Ferrari ,514","Goiabeiras","Vitoria","ES","29075910","(27) 4009-2093","http://www.neaad.ufes.br/","http://www.neaad.ufes.br/"
"UFF","-22.88323710","-43.11545520","Mário Santos Braga,s/n","Centro","Niteroí","RJ","24220008","(21) 2629-5206","http://www.cead.uff.br/","http://www.cead.uff.br/"
"UFG","-16.68088200","-49.25326910","Centro Integrado de Aprendizagem em Rede","Campus Ii - Samambaia","Goiânia","GO","74001970","(62) 3521-1381","http://www.ciar.ufg.br/","http://www.ciar.ufg.br/"
"UFGD","-22.22061450","-54.81220800","Rua Benjamin Constant,685","Jardim América","Dourados","MS","79825070","(67) 3410-2656","http://portalead.ufgd.edu.br/","http://portalead.ufgd.edu.br/"
"UFJF","-21.76095330","-43.35011290","Rua José Lourenço Kelmer,s/n","São Pedro","Juiz De Fora","MG","36036900","(32) 2102-3487","WWW.CEAD.UFJF.BR","http://www.cead.ufjf.br/"
"UFLA","-21.22714610","-44.98208244","Campus Universitário","","Lavras","MG","37200000","(35) 3829-1035","http://www.ufla.br/","http://www.ufla.br/"
"UFMA","-2.53192240","-44.29332760","","","São Luis","MA","65085580","(98) 3272-8055","www.nead.ufma.com.br","http://www.nead.ufma.com.br/"
"UFMG","-19.92273180","-43.94509480","Avenida Antônio Carlos,6627","Pampulha","Belo Horizonte","MG","31270010","(31) 3409-5526","https://www.ufmg.br/ead/site/","http://https//www.ufmg.br/ead/site/"
"UFMS","-20.47053020","-54.62435200","Fundação Universidade Federal de Mato Grosso do Sul.","Universitário","Campo Grande","MS","79070900","(67) 3345-7218","http://www.ead.ufms.br/portal/","http://www.ead.ufms.br/portal/"
"UFMT","-15.59866860","-56.09913010","Av. Fernando Correa da Costa, s/n","Coxipó","Cuiabá","MT","78060900","(65) 3627-5932","http://www.uab.ufmt.br/principal","http://www.uab.ufmt.br/principal"
"UFOP","-20.38516920","-43.50363440","Campus Morro do Cruzeiro","Morro Do Cruzeiro","Ouro Preto","MG","35400000","(31) 3559-1355","http://www.cead.ufop.br/","http://www.cead.ufop.br/"
"UFPA","-1.45056000","-48.46824530","Augusto Correa,01","Guama","Belem","PA","66075110","(91) 3201-7834","http://www.aedi.ufpa.br/","http://www.aedi.ufpa.br/"
"UFPB","-7.11478410","-34.88979790","Jardim Universitário","Castelo Branco","Joao Pessoa","PB","58051900","(83) 3216-7200","http://portal.virtual.ufpb.br/","http://portal.virtual.ufpb.br/"
"UFPE","-8.05810770","-34.89790470","Avenida dos Reitores,s/n","Cidade Universitária","Recife","PE","50670901","(81) 2126-8001","http://www.ufpe.br/uab","http://www.ufpe.br/uab"
"UFPEL","-31.77001040","-52.34115430","Benjamin Constant,897","Centro","Pelotas","RS","96010610","(53) 3921-1167","http://wp.ufpel.edu.br/ead/","http://wp.ufpel.edu.br/ead/"
"UFPI","-5.05794000","-42.79635000","Rua Olavo Billac,1148","Centro/sul","Teresina","PI","64049550","(86) 3215-4101","http://www.uapi.edu.br/","http://www.uapi.edu.br/"
"UFPR","-25.42869270","-49.27237300","","","Curitiba","PR","80060000","(41) 3310-5001","http://www.nead.ufpr.br/v2/","http://www.nead.ufpr.br/v2/"
"UFRB","-12.67226490","-39.10536650","Rua Rui Barbosa, 700","Vila Dos Professores","Cruz Das Almas","BA","44380000","(75) 3621-6922","www.ufrb.edu.br","http://www.ufrb.edu.br/"
"UFRGS","-30.03329450","-51.21994690","Avenida Paulo Gama,110","Farroupilha","Porto Alegre","RS","90040060","(51) 3308-6000","http://www.ufrgs.br/uab/","http://www.ufrgs.br/uab/"
"UFRJ","-22.85773470","-43.23058510","Av. Athos da Silveira Ramos,149","Cidade Universitária","Rio De Janeiro","RJ","21941901","(21) 2334-1571","http://www.cederj.edu.br/fundacao/","http://www.cederj.edu.br/fundacao/"
"UFRN","-5.80539800","-35.20809050","AC Universidade Federal do Rio Grande do Norte,3000","Lagoa Nova","Natal","RN","59078970","(84) 3215-3119","http://www.sedis.ufrn.br/","http://www.sedis.ufrn.br/"
"UFRPE","-8.05810770","-34.89790470","Avenida Dom Manuel de Medeiros","Dois Irmãos","Recife","PE","52171900","(81) 3320-6000","http://www.ead.ufrpe.br/","http://www.ead.ufrpe.br/"
"UFRR","2.82080170","-60.67244790","Avenida Capitão Ene Gacez,2413","Aeroporto","Boa Vista","RR","69304000","(95) 3621-3163","http://www.uab.ufrr.br/","http://www.uab.ufrr.br/"
"UFRRJ","-22.91101370","-43.20937270","","","Rio De Janeiro","RJ","23897000","(21) 2682-1215","http://www.cederj.edu.br/cederj/","http://www.cederj.edu.br/cederj/"
"UFS","-11.00844300","-37.20436000","Cidade Universitaria Prof Aloisio de Campo","Jardim Roza Elze","São Cristovão","SE","49100000","(79) 2105-6870","http://www.cesad.ufs.br/","http://www.cesad.ufs.br/"
"UFSC","-27.59730020","-48.54960980","Campus Prof. João David Ferreira Lima, Centro Sócio-Econômico, Bloco F,s/n","Trindade","Florianopolis","SC","88040900","(48) 3721-9329","https://ead.ufsc.br/","http://https//ead.ufsc.br/"
"UFSCAR","-22.01754350","-47.89097070","Rodovia Washington Luiz Km 235 (SP-310),s/n","Monjolinho","São Carlos","SP","13565905","(16) 3351-8101","http://www.sead.ufscar.br/","http://www.sead.ufscar.br/"
"UFSJ","-21.13357550","-44.25880860","Praça Frei Orlando.","Centro","São João Del Rei","MG","36307352","(32) 3379-2344","http://www.nead.ufsj.edu.br/portal/","http://www.nead.ufsj.edu.br/portal/"
"UFSM","-29.68605120","-53.80692140","Universidade Federal de Santa Maria,1000","Camobi","Santa Maria","RS","97105900","(55) 3220-8007","http://nte.ufsm.br/moodle2_UAB/","http://nte.ufsm.br/moodle2_UAB/"
"UFT","-10.15671000","-48.34986000","Avenida NS 15","Saída Para Paraíso","Palmas","TO","77001090","(63) 3232-8027","http://www.uft.edu.br/dte/","http://www.uft.edu.br/dte/"
"UFU","-18.91844615","-48.25761696","Av. João Naves de Ávila,2121","Santa Mônica","Uberlândia","MG","38400902","(34) 3239-4812","http://www.cead.ufu.br/","http://www.cead.ufu.br/"
"UFV","-20.75385860","-42.88158880","","","Viçosa","MG","36570000","(31) 3899-2858","https://www.ufv.br","http://https//www.ufv.br"
"UFVJM","-18.24408620","-43.60064870","Rodovia MGT 367, 5000, Km 583","Alto Da Jacuba","Diamantina","MG","39100000","(38) 3532-6000","http://ead.ufvjm.edu.br/","http://ead.ufvjm.edu.br/"
"UnB","-15.79340030","-47.88229330","Campus Universitário Darcy Ribeiro, s/n","Asa Norte","Brasilia","DF","70910900","(61) 3107-6062","http://www.ead.unb.br/","http://www.ead.unb.br/"
"UNCISAL","-9.67384000","-35.75850000","Doutor Jorge de Lima, 113 ","Trapiche da Barra","Maceió","AL","57010382","(82) 3315-6735 ","http://www.uncisal.edu.br",""
"UNEB","-12.98163560","-38.48207710","Rua dos Vereadores,2555","Joquei Clube","Salvador","BA","41190000","(71) 3378-4331 r201","http://www.campusvirtual.uneb.br","http://www.campusvirtual.uneb.br/"
"UNEMAT","-16.06610010","-57.68473570","Av. Santos Dumont","Santos Dumont","Cáceres","MT","78200000","(65) 3221-0000","http://www.unemat.br/ead/","http://www.unemat.br/ead/"
"UNESP","-23.59104000","-46.61015000","Rua Dom Luis Lasagna,400","Ipiranga","São Paulo","SP","1049010","(11) 5627-0608","http://edutec.unesp.br/index.php?lang=pt_br","http://edutec.unesp.br/index.php?lang=pt_br"
