1224,UFBA,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,ESPECIALIZAÇÃO
93,UFOP,PEDAGOGIA,LICENCIATURA
321,UFPB,CIENCIAS BIOLOGICAS,LICENCIATURA
1131,UFPB,LETRAS LIBRAS,LICENCIATURA
1784,UFPB,LETRAS LINGUA INGLESA,LICENCIATURA
98,UFPB,LETRAS PORTUGUES,LICENCIATURA
1008,UFRPE,ADMINISTRACAO PUBLICA,BACHARELADO
124,UFRPE,COMPUTACAO,LICENCIATURA
355,UFRPE,ENSINO DE CIENCIAS E MATEMATICA,ESPECIALIZAÇÃO
123,UFRPE,SISTEMAS DE INFORMACAO,BACHARELADO
818,UNEB,ADMINISTRACAO PUBLICA,BACHARELADO
1346,UNEB,DIVERSIDADE NO AMBIENTE ESCOLAR,EXTENSÃO
390,UNEB,EDUCACAO A DISTANCIA,ESPECIALIZAÇÃO
1344,UNEB,EDUCACAO DE JOVENS E ADULTOS NA DIVERSIDADE,EXTENSÃO
1409,UNEB,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
756,UNEB,GEOGRAFIA,LICENCIATURA
1199,UNEB,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,EXTENSÃO
817,UNEB,GESTAO EM SAUDE,ESPECIALIZAÇÃO
1657,UNEB,INTERDISCIPLINAR EM ESTUDOS SOCIAIS E HUMANIDADES,ESPECIALIZAÇÃO
1679,UESB,ENSINO DE CIENCIAS (CIENCIA E 10!),ESPECIALIZAÇÃO
1635,UESB,ENSINO DE MATEMATICA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1726,UESB,ENSINO DE SOCIOLOGIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1141,UESB,MIDIAS NA EDUCACAO,EXTENSÃO
757,UNEB,BIOLOGIA,LICENCIATURA
763,UNEB,LETRAS PORTUGUES,LICENCIATURA
392,UNEB,MATEMATICA,LICENCIATURA
729,UNEB,PEDAGOGIA,LICENCIATURA
1036,UESB,COMPUTACAO,LICENCIATURA
16,IFPE,TECNOLOGIA EM GESTAO AMBIENTAL,TECNOLOGO
1462,UFBA,ADMINISTRACAO PUBLICA,BACHARELADO
989,UFBA,EDUCACAO  EM DIREITOS HUMANOS,EXTENSÃO
934,UFBA,GENERO E DIVERSIDADE NA ESCOLA,EXTENSÃO
1463,UFBA,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
969,UFBA,PRODUCAO DE MATERIAL DIDATICO PARA A DIVERSIDADE,EXTENSÃO
759,UNEB,CIENCIAS DA COMPUTACAO,LICENCIATURA
761,UNEB,LETRAS ESPANHOL,LICENCIATURA
