"id","cidade","uf","lat","lng","nome_polo","nome_fantasia","logradouro","numero","bairro","cep","complemento","conceito"
"42","Caucaia","CE","-3.77362650","-38.62485250","CAUCAIA - JUREMA","POLO UAB CAUCAIA 2 - ESCOLA RUBENS VAZ(JUREMA) ","AV. NOVO HORIZONTE","","JUREMA","61695000","CONJUNTO MARECHAL RONDON","AA"
"43","Caucaia","CE","-3.72934260","-38.66431340","CAUCAIA - NOVO PABUSSU","MARIA DOLORES MENEZES DE ALMEIDA - POLO UAB DE CAUCAIA 1( PROVISORIO)","RUA DA CONSOLAÇÃO","465","NOVO PABUSSÚ","61600310"," ","AA"
"44","Caucaia","CE","-3.73189710","-38.64597860","CAUCAIA - ITAMBE I","POLO UAB CAUCAIA 3 - ESCOLA FLAVIO PORTELA MARCILIO(SEDE)","RUA 05,CONJUNTO VICENTE ARRUDA","23","ITAMBÉ I","61600000","ESCOLA DE ENS. FUNDAMENTAL FLÁVIO PORTELA MARCÍLIO","AA"
"45","Fortaleza","CE","-3.75707190","-38.55346490","FORTALEZA - DAMAS","UNIVERSIDADE POPULAR DE FORTALEZA","Av. João Pessoa","5609","Damas","60425682","Campus do Imparh","NA"
"46","Limoeiro do Norte","CE","-5.15717150","-38.02081510","LIMOEIRO DO NORTE - SANTA LUZIA - CENTRO","POLO UAB - LIMOEIRO DO NORTE","RUA JOSE HAMILTON DE OLIVEIRA","160","SANTA LUZIA - CENTRO","62930000","SECRETARIA DE EDUCA??O","AA"
"47","Meruoca","CE","-3.58525040","-40.45163290","MERUOCA - CENTRO","POLO UAB - MERUOCA","Praça Caetano Alves","s/n","CENTRO","62130000","","AA"
"48","Quixadá","CE","-4.95848440","-38.94593260","QUIXADA - CEDRO VELHO","POLO MUNICIPAL DE APOIO PRESENCIAL DA UAB DE QUIXADA - CE","Estrada do Açude do Cedro, KM 05","S/N","Cedro Velho","63900000","IFCE Quixadá","FR"
"49","Quixeramobim","CE","-5.29154080","-39.40358760","QUIXERAMOBIM - DISTRITO INDUSTRIAL","POLO ESTADUAL DE QUIXERAMOBIM - CENTEC","Av: GERALDO BIZARRIA DE CARVALHO","S/N","DISTRITO INDUSTRIAL","63800000","VIZINHO A ESCOLA AGRÍCOLA","NA"
"50","Quixeramobim","CE","-5.29154080","-39.40358760","QUIXERAMOBIM - CENTRO","POLO UNIVERSITARIO DR. ANDRADE FURTADO - QUIXERAMOBIM (MUNICIPIO) - UAB","AVENIDA  DR. JOAQUIM FERNANDES,BLOCO C","382","CENTRO","63800000"," ","AA"
"51","Russas","CE","-4.81498970","-38.10544950","RUSSAS - YPIRANGA","POLO ESTADUAL DE RUSSAS - UAB","TRAVESSA PEDRO ARAÚJO","sn","YPIRANGA","62900000"," ","AA"
"52","São Gonçalo do Amarante","CE","-3.64370680","-39.02938840","SAO GONCALO DO AMARANTE - LIBERDADE","POLO UAB - SAO GONCALO DO AMARANTE","RUA ESTRADA DA LIBERDADE ","s/n","LIBERDADE","62670000"," ","FR"
"53","Ubajara","CE","-3.84234400","-40.93849140","UBAJARA - CENTRO","POLO UAB - UBAJARA","AVENIDA CORONEL FRANCISCO CAVALCANTE","503","CENTRO","62350000","","FR"
"54","Afonso Cláudio","ES","-20.08072220","-41.16025970","AFONSO CLAUDIO - CUSTODIO LEITE RIBEIRO","CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE AFONSO CLAUDIO - UAB","ALAMEDA NOSSA SENHORA DE LOURDES","111","CUSTÓDIO LEITE RIBEIRO","29600000"," ","AA"
"55","Aracruz","ES","-19.82123640","-40.27178910","ARACRUZ - CENTRO","POLO DE APOIO PRESENCIAL DA UAB E CENTRO DE FORMACAO DE PROFESSORES JOSE MODENESE - ARACRUZ","RUA GENERAL ARISTIDES GUARANÁ","23","CENTRO","29190050"," ","AA"
"56","Baixo Guandu","ES","-19.65962950","-40.99905970","BAIXO GUANDU - CENTRO","POLO UAB - BAIXO GUANDU","RUA FRITZ VON LUTZOW","217","Centro","29730000","Edifício","FR"
"57","Bom Jesus do Norte","ES","-21.09805070","-41.63111660","BOM JESUS DO NORTE - CENTRO","POLO UAB DE APOIO PRESENCIAL DE BOM JESUS DO NORTE-ES ","AV. GOVERNADOR FRANCISCO LACERDA DE AGUIAR","S/Nº","CENTRO","29460000","","AA"
